source_id,source_name,owner,coverage,current_status,access,licence_summary,licence_expiry,website_import_decision,free_access,commercial_embedding,relevance,recommended_action,data_url,licence_url,evidence_note,last_checked
EC-LCDN-REGISTRY,European Commission LCDN PEF/OEF node registry,European Commission / JRC,Registry of EF/PEF/OEF data nodes,CURRENT_REGISTRY_BUT_NODE_LIST_LAST_UPDATED_JUNE_2023,Public metadata,"Access and use are controlled by each node owner; EC-owned nodes are free, but dataset-level terms still need checking.",,METADATA_ONLY,YES_FOR_METADATA,NOT_DETERMINED_AT_REGISTRY_LEVEL,HIGH,Use as a discovery catalogue only. Evaluate every dataset and EULA individually.,https://knowledge4policy.ec.europa.eu/european-platform-life-cycle-assessment-eplca/topic/node-registered-pef/oef-0_en,https://knowledge4policy.ec.europa.eu/european-platform-life-cycle-assessment-eplca/topic/node-registered-pef/oef-0_en,"Official registry says node owners regulate access; some data are free, some require free or paid registration.",2026-08-09
ESIG-EF31-SOLVENTS,European Solvents Industry Group EF 3.1 LCA Database,ESIG,"Solvents, including glycol ethers and hydrocarbon solvents",METADATA_PUBLIC_FULL_DATA_REQUIRES_REGISTRATION,Metadata public; inventory and LCIA results restricted until registration,Free only for some user/use types under a linked Sphera/thinkstep EULA. General website redistribution is not established.,User/use-specific; verify current EULA before use,BLOCK_UNTIL_WRITTEN_PERMISSION,CONDITIONAL,NO_WITHOUT_EXPLICIT_LICENCE,VERY_HIGH_FOR_SOLVENTS_AND_COATINGS,Use metadata to identify supplier/process matches. Obtain written permission or a suitable licence before importing values.,https://data.esig.org/,https://data.esig.org/,Example process pages expose metadata only and require registration for full inputs/outputs and LCIA results.,2026-08-09
CEPE-EF31-PAINT-CHEMICALS,CEPE chemicals for paints / printing inks EF data,CEPE / ecoinvent,"Paint and printing-ink chemicals, including resins and related materials",LICENCE_EXPIRED_FOR_LISTED_FREE_USE,Some metadata/results visible,Listed free PEF/OEF use was explicitly limited to 31 December 2024.,2024-12-31,BLOCK,NO_CURRENT_FREE_RIGHT_CONFIRMED,NO,VERY_HIGH_FOR_COATINGS_AND_INKS,Do not import or redistribute. Contact CEPE/ecoinvent for current licensing.,https://lcdn-cepe.org/,https://lcdn-cepe.org/,Dataset page limits use to regular PEF/OEF studies under specified rules exclusively until 31 December 2024.,2026-08-09
ECOINVENT-PEF-NODE,ecoinvent PEF data platform / node,ecoinvent,"Chemicals, plastics, apparel and other EF datasets",DISCONTINUED_SINCE_DECEMBER_2025,Discontinued PEF node; current ecoinvent database requires licence,Integrating ecoinvent data into software or internal tools requires a developer licence.,PEF node discontinued December 2025,BLOCK_UNLESS_DEVELOPER_LICENCE,NO,DEVELOPER_LICENCE_REQUIRED,VERY_HIGH,Do not import into the website without a signed developer/sub-licensing arrangement.,https://ecoinvent.org/projects/pef-data-platform/,https://ecoinvent.org/licenses/developer/,ecoinvent states the PEF node was discontinued in December 2025 and software integration requires a developer licence.,2026-08-09
EC-EF-NODE-RP,European Commission EF representative-product/background-process node,European Commission / JRC,Small number of public EF 3.1 representative-product/background datasets currently visible,CURRENT_BUT_LIMITED_COVERAGE,Public,Individual example dataset pages state “No restrictions”; verify each dataset before import.,,CONDITIONAL_DATASET_LEVEL_REVIEW,YES,LIKELY_FOR_DATASETS_MARKED_NO_RESTRICTIONS_BUT_VERIFY,LOW_FOR_CURRENT_COATINGS_USE_CASE,Catalogue the node. Import only datasets whose own metadata explicitly permits reuse and whose functional unit is relevant.,https://eplca.jrc.ec.europa.eu/EF-node/,https://eplca.jrc.ec.europa.eu/EF-node/,A synthetic-turf background dataset page states “No restrictions”; the public stock is not a broad industrial LCI database.,2026-08-09
FEFAC-BLONK-EF31,FEFAC / Blonk EF data node,FEFAC / Blonk,"Feed, agrofood and renewable datasets",LISTED_FREE_RIGHT_EXPIRED,Registration and EULA,The published EULA ceased the right to use the datasets after 31 December 2025 unless a new licence is obtained.,2025-12-31,BLOCK,NO_CURRENT_FREE_RIGHT_CONFIRMED,NO_WITHOUT_NEW_LICENCE,LOW_TO_MEDIUM,Do not import. Contact the licensor for a current agreement if feed/agrofood data become necessary.,https://lcdn.blonkconsultants.nl/Node/,https://lcdn.blonkconsultants.nl/static/EULA_European_Commission_Feed_datasets_3_1.pdf,EULA says use ceases automatically after 31 December 2025 and a new licence is required from 2026.,2026-08-09
QUANTIS-EF-NODE,Quantis EF node,Quantis,Agrofood and other EF pilot datasets,UNAVAILABLE,Node reported down in registry; current endpoint unavailable during review,Not assessed because node is unavailable.,,BLOCK_UNAVAILABLE,UNKNOWN,UNKNOWN,LOW,Do not automate against this node. Reassess only if the owner restores service and publishes current terms.,https://lcdn.quantis-software.com/PEF/,,Official registry marked the node down in March 2023.,2026-08-09
RDC-EF-NODE,RDC glass-recycling EF node,RDC,Glass recycling EF 2.0,UNAVAILABLE,Node reported down in registry; endpoint unavailable during review,Not assessed because node is unavailable.,,BLOCK_UNAVAILABLE,UNKNOWN,UNKNOWN,LOW,Do not automate against this node.,http://soda.rdc.yp5.be/login.xhtml,,Official registry marked the node down in March 2023.,2026-08-09
EC-EF-SDP-HYDROGEN,European Commission Small Data Providers node — EF 3.1 hydrogen,European Commission / contributing data providers,Hydrogen and supporting unit-process datasets,CURRENT_LIMITED_COVERAGE,Public,At least some dataset pages explicitly license reuse under CC BY 4.0 with attribution and indication of changes. Check every dataset.,,CONDITIONAL_DATASET_LEVEL_REVIEW,YES,YES_FOR_DATASETS_EXPLICITLY_CC_BY_4_0,LOW_UNLESS_HYDROGEN_IS_MODELLED,Build a dataset-level importer that reads licence metadata. Import only explicit CC BY/no-restriction records.,https://eplca.jrc.ec.europa.eu/EF-SDP/,https://creativecommons.org/licenses/by/4.0/,Example 2024 JRC dataset states CC BY 4.0 reuse is allowed with attribution and changes indicated.,2026-08-09
SPHERA-EF-NODE,Sphera EF data node,Sphera,"Energy, transport, packaging, end-of-life, plastics, electronics, metals and minerals",GENERAL_PEF_OEF_FREE_USE_EXPIRED,EULA-controlled,General PEF/OEF and taxonomy/new-consumer-agenda uses ended 31 December 2025. Certain other EU-policy uses continue to 31 December 2030; general website use is not covered.,2025-12-31 for general PEF/OEF use; 2030-12-31 only for defined other EU-policy uses,BLOCK_FOR_GENERAL_WEBSITE,NO_FOR_GENERAL_USE,PAID_OR_SPECIFIC_EU_POLICY_LICENCE_REQUIRED,VERY_HIGH,Do not import for the general website. Contact Sphera for an appropriate database/software licence.,https://lcdn.thinkstep.com/,https://lcdn.thinkstep.com/static/EULA_07%20June%202024_%28Sphera%20-%20Final%29.pdf,EULA limits permitted uses and dates; general PEF/OEF rights ceased after 2025.,2026-08-09
